Teams,Beers,Stadium,Brewery,Address 
Seattle Mariners,Iron Horse Brewing Irish Death,T-Mobile Park,Iron Horse Brewing,"412 N Main St, Ellensburg, WA 98926"
St. Louis Cardinals,Leinenkugel,Busch Stadium,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Baltimore Orioles,Leinenkugel Summer Shandy,Oriole Park at Camden Yards,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Cincinnati Reds,Leinenkugel's Summer Shandy,Great American Ball Park,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Tampa Bay Rays,Leinenkugel's Summer Shandy,Tropicana Field,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
Baltimore Orioles,,Oriole Park at Camden Yards,Jailbreak Brewing Company,"9445 Washington Boulevard North F, Laurel, MD 20723"
Kansas City Royals,,Kauffman Stadium,Kansas City Bier Company,"310 W 79th St, Kansas City, MO 64114"
Houston Astros,,Minute Maid Park,Karbach Brewing Co.,"2032 Karbach St, Houston, TX 77092"
Texas Rangers,,Globe Life Park in Arlington,Karbach Brewing Co.,"2032 Karbach St, Houston, TX 77092"
Los Angeles Angels of Anaheim,,Angel Stadium,Karl Strauss Brewing Company,"9675 Scranton Rd, San Diego, CA 92121"
San Diego Padres,,Petco Park,Karl Strauss Brewing Company,"9675 Scranton Rd, San Diego, CA 92121"
Detroit Tigers,,Comerica Park,Keweenaw Brewing,"408 Shelden Ave, Houghton, MI 49931"
Baltimore Orioles,,Oriole Park at Camden Yards,Key Brewing,"2500 Grays Rd, Dundalk, MD 21222"
Texas Rangers,,Globe Life Park in Arlington,Kona Brewing Co.,"74-5612 Pawai Pl, Kailua, HI 96740"
Toronto Blue Jays,Labatt Canadian Ale/Labatt 50,Rogers Centre,Labatt Brewery,"150 Simcoe St, London, ON N6A 4M3, Canada"
Los Angeles Dodgers,,Dodger Stadium,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Oakland Athletics,,RingCentral Coliseum,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Chicago White Sox,Lagunitas Brewing Company DayTime,Guaranteed Rate Field,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
San Francisco Giants,Lagunitas IPA,Oracle Park,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Baltimore Orioles,Lagunitas Pils,Oriole Park at Camden Yards,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Pittsburgh Pirates,Lagunitas A Little Sumpin' Sumpin' Ale,PNC Park,Lagunitas Brewing Company,"2607 W 17th St, Chicago, IL 60608"
Milwaukee Brewers,,Miller Park,Lakefront Brewery,"1872 N Commerce St, Milwaukee, WI 53212"
Baltimore Orioles,Lancaster Strawberry Wheat,Oriole Park at Camden Yards,Lancaster Brewing Company,"469 Eisenhower Blvd, Harrisburg, PA 17111"
San Francisco Giants,,Oracle Park,Laughing Monk Brewing,"1439 Egbert Ave unit a/b, San Francisco, CA 94124"
Los Angeles Angels of Anaheim,,Angel Stadium,Left Coast Brewing Co.,"1245 Puerta Del Sol, San Clemente, CA 92673"
Colorado Rockies,,Coors Field,Left Hand Brewing,"1265 Boston Ave, Longmont, CO 80501"
Texas Rangers,,Globe Life Park in Arlington,Legal Draft Beer Co.,"500 E Division St, Arlington, TX 76011"
Milwaukee Brewers,,Miller Park,Jacob Leinenkugel Brewing Company,"124 E Elm St, Chippewa Falls, WI 54729"
New York Mets,,Citi Field,LIC Beer Project,"39-28 23rd St, Long Island City, NY 11101"
Minnesota Twins,Lift Bridge Hop Dish,Target Field,Lift Bridge Brewery,"1900 Tower Dr W, Stillwater, MN 55082"
Cincinnati Reds,Listermann Leopold Belgium Blonde,Great American Ball Park,Listermann Brewing Company,"1621 Dana Ave, Cincinnati, OH 45207"
Miami Marlins,,Marlins Park,Litehaus Pilsner,
San Francisco Giants,,Oracle Park,Local Brewing,"69 Bluxome St, San Francisco, CA 94107"
Seattle Mariners,,T-Mobile Park,Mac & Jack's Brewery,"17825 NE 65th St, Redmond, WA 98052"
Cincinnati Reds,Mad Tree PsycHOPathy IPA,Great American Ball Park,MadTree Brewing,"3301 Madison Rd, Cincinnati, OH 45209"
Baltimore Orioles,,Oriole Park at Camden Yards,Manor Hill Brewing,"4411 Manor Ln, Ellicott City, MD 21042"
Seattle Mariners,,T-Mobile Park,Maritime Pacific Brewing Company,"1111 NW Ballard Way, Seattle, WA 98107"
Cleveland Indians,,Progressive Field,Market Garden Brewery,"3418, 1947 W 25th St, Cleveland, OH 44113"
Kansas City Royals,Martin City Abbey,Kauffman Stadium,Martin City Brewing Company,"500 E 135th St, Kansas City, MO 64145"
San Diego Padres,,Petco Park,Mermaid Brewing,
San Diego Padres,,Petco Park,Mike Hess Brewing,"3812 Grim Ave, San Diego, CA 92104"
New York Mets,,Citi Field,Mikkeller Brewing ,"9366 Cabot Dr, San Diego, CA 92126"
Toronto Blue Jays,,Rogers Centre,Mill Street Brewery,"125 Bermondsey Rd, North York, ON M4A 1X3, Canada"
Milwaukee Brewers,Milwaukee Brewing Company O-Gii,Miller Park,Milwaukee Brewing Company,"613 S 2nd St, Milwaukee, WI 53204"
Los Angeles Angels of Anaheim,,Angel Stadium,Modern Times,"3725 Greenwood St, San Diego, CA 92110"
Minnesota Twins,,Target Field,Modist Brewing Co.,"505 N 3rd St, Minneapolis, MN 55401"
Cincinnati Reds,,Great American Ball Park,Christian Moerlein Brewing Co.,"1621 Moore St, Cincinnati, OH 45202"
New York Mets,,Citi Field,Montauk Brewing,"62 S Erie Ave, Montauk, NY 11954"
Baltimore Orioles,,Oriole Park at Camden Yards,Monument City Brewing Co.,"1 N Haven St, Baltimore, MD 21224"
San Francisco Giants,,Oracle Park,Moonraker Brewing Co.,"12970 Earhart Ave #100, Auburn, CA 95602"
St. Louis Cardinals,,Busch Stadium,Mother's Brewing Company,"215 S Grant Ave, Springfield, MO 65806"
Kansas City Royals,Mothers Three Blind Mice,Kauffman Stadium,Mother's Brewing Company,"215 S Grant Ave, Springfield, MO 65806"
Detroit Tigers,,Comerica Park,Motor City Brewing Works,"470 W Canfield St, Detroit, MI 48201"
Cincinnati Reds,Mt. Carmel Nut Brown Ale,Great American Ball Park,Mt. Carmel Brewing Company,"4362 Mt Carmel Tobasco Rd, Cincinnati, OH 45244"
Cincinnati Reds,,Great American Ball Park,Taft's Ale House,"1429 Race St, Cincinnati, OH 45202"
Arizona Diamondbacks,,Chase Field,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Los Angeles Angels of Anaheim,New Belgium Brewing Ranger,Angel Stadium,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
St. Louis Cardinals,Ranger IPA,Busch Stadium,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Baltimore Orioles,New Belgium Fat Tire,Oriole Park at Camden Yards,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Cincinnati Reds,New Belgium Fat Tire Amber Ale,Great American Ball Park,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Milwaukee Brewers,New Belgium Brewing Ranger,Miller Park,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Tampa Bay Rays,New Belgium Fat Tire Amber Ale,Tropicana Field,New Belgium Brewing,"500 Linden St, Fort Collins, CO 80524"
Milwaukee Brewers,,Miller Park,New Glarus Brewing,"2400 WI-69, New Glarus, WI 53574"
Seattle Mariners,Ninkasi Vanilla Oatis Stout,T-Mobile Park,Ninkasi Brewing,"272 Van Buren St, Eugene, OR 97402"
Seattle Mariners,,T-Mobile Park,No-Li Brewhouse,"1003 E Trent Ave #170, Spokane, WA 99202"
Chicago White Sox,,Guaranteed Rate Field,Noon Whistle Brewing,"800 Roosevelt Rd c, Lombard, IL 60148"
Pittsburgh Pirates,,PNC Park,North Country Brewing Co,"141 S Main St, Slippery Rock, PA 16057"
Minnesota Twins,North Lake Brewing Company Honey Brown Lager,Target Field,North Lake Brewing Company,
Seattle Mariners,Northwest Brewing Joker Amber Ale,T-Mobile Park,NW Peaks Brewery,"4818 17th Ave NW, Seattle, WA 98107"
Texas Rangers,,Globe Life Park in Arlington,Legal Draft Beer Co.,"500 E Division St, Arlington, TX 76011"
Colorado Rockies,Odell 90 Shilling Ale,Coors Field,Odell Brewing Company,"800 E Lincoln Ave, Fort Collins, CO 80524"
Texas Rangers,Odell 90 Shilling Ale,Globe Life Park in Arlington,Odell Brewing Company,"800 E Lincoln Ave, Fort Collins, CO 80524"
St. Louis Cardinals,O'Fallon Wheach,Busch Stadium,O'Fallon Brewery,"45 Progress Pkwy, Maryland Heights, MO 63043"
Detroit Tigers,,Comerica Park,Old Nation Brewery,"1500 E Grand River Ave, Williamston, MI 48895"
Baltimore Orioles,,Oriole Park at Camden Yards,Oliver Brewing Co.,"4216 Shannon Dr, Baltimore, MD 21213"
Milwaukee Brewers,,Miller Park,One Barrel Brewing,"2001 Atwood Ave, Madison, WI 53704"
Baltimore Orioles,Oscar Blues Dale's Pale Ale,Oriole Park at Camden Yards,Oskar Blues Brewery,"342 Mountain Industrial Dr, Brevard, NC 28712"
Colorado Rockies,Oskar Blues Dale's Pale Ale,Coors Field,Oskar Blues Brewery,"342 Mountain Industrial Dr, Brevard, NC 28712"
Texas Rangers,Oskar Blues Dale's Pale Ale,Globe Life Park in Arlington,Oskar Blues Brewery,"342 Mountain Industrial Dr, Brevard, NC 28712"
New York Mets,,Citi Field,Oyster Bay Brewing Company,"36 Audrey Ave, Oyster Bay, NY 11771"
Seattle Mariners,Pike 5X Stout,T-Mobile Park,Pike Brewing Company,"1415 1st Ave, Seattle, WA 98101"
San Francisco Giants,,Oracle Park,Plow Brewing Company,"3334 Industrial Dr, Santa Rosa, CA 95403"
Washington Nationals,,Nationals Park,Port City Brewing,"3950 Wheeler Ave, Alexandria, VA 22304"
New York Mets,,Citi Field,Queens Brewery,"1539 Covert St, Ridgewood, NY 11385"
Texas Rangers,,Globe Life Park in Arlington,Rahr & Sons Brewing,"701 Galveston Ave, Fort Worth, TX 76104"
Milwaukee Brewers,,Miller Park,Raised Grain Brewing Co.,"1725 Dolphin Dr Ste B, Waukesha, WI 53186"
Texas Rangers,,Globe Life Park in Arlington,Real Ale Brewing Company,"231 San Saba Ct, Blanco, TX 78606"
Detroit Tigers,,Comerica Park,Red Jacket Brewing Co.,"300 6th St, Calumet, MI 49913"
San Diego Padres,,Petco Park,Karl Strauss Brewing Company,"9675 Scranton Rd, San Diego, CA 92121"
Seattle Mariners,,T-Mobile Park,Reuben's Brews,"5010 14th Ave NW, Seattle, WA 98107"
Chicago Cubs,,Fenway Park,Revolution Brewing,"2323 N Milwaukee Ave, Chicago, IL 60647"
Chicago White Sox,Revolution Brewing Company Anti-Hero,Guaranteed Rate Field,Revolution Brewing,"2323 N Milwaukee Ave, Chicago, IL 60647"
Chicago White Sox,,Guaranteed Rate Field,Revolution Brewing,"2323 N Milwaukee Ave, Chicago, IL 60647"
Cincinnati Reds,Rhinegeist Truth American IPA,Great American Ball Park,Rhinegeist Brewery,"1910 Elm St, Cincinnati, OH 45202"
Cleveland Indians,,Progressive Field,Rhinegeist Brewery,"1910 Elm St, Cincinnati, OH 45202"
Kansas City Royals,River North White,Kauffman Stadium,River North Brewery,"6021 Washington St a, Denver, CO 80216"
Cincinnati Reds,Rivertown Blueberry Lager,Great American Ball Park,Rivertown Brewery & Barrel House,"6550 Hamilton Lebanon Rd, Middletown, OH 45044"
Chicago White Sox,Rogue Ales Dead Guy Ale,Guaranteed Rate Field,Rogue Brewing,"2320 SE Marine Science Dr, Newport, OR 97365"
Seattle Mariners,Rogue Hazlenut Brown Ale,T-Mobile Park,Rogue Brewing,"2320 SE Marine Science Dr, Newport, OR 97365"
San Francisco Giants,,Oracle Park,Russian River Brewing Company,"725 4th St, Santa Rosa, CA 95404"
Pittsburgh Pirates,,PNC Park,Rusty Rail Brewing Company,"5 N 8th St #1, Mifflinburg, PA 17844"
Arizona Diamondbacks,,Chase Field,Saint Archer Brewing Co.,"9550 Distribution Ave, San Diego, CA 92121"
Los Angeles Angels of Anaheim,,Angel Stadium,Saint Archer Brewing Co.,"9550 Distribution Ave, San Diego, CA 92121"
Texas Rangers,,Globe Life Park in Arlington,Saint Arnold Brewing Company,"2000 Lyons Ave, Houston, TX 77020"
Houston Astros,Saint Arnold Elissa IPA,Minute Maid Park,Saint Arnold Brewing Company,"2000 Lyons Ave, Houston, TX 77020"
Tampa Bay Rays,,Tropicana Field,Saint Pete Brewing,"544 1st Ave N, St. Petersburg, FL 33701"
Boston Red Sox,,Fenway Park,Boston Beer Company (Samuel Adams),"30 Germania St, Boston, MA 02130"
New York Yankees,,Yankee Stadium,Boston Beer Company (Samuel Adams),"30 Germania St, Boston, MA 02130"
Arizona Diamondbacks,,Chase Field,SanTan Brewing Company,"8 S San Marcos Pl, Chandler, AZ 85225"
Colorado Rockies,,Coors Field,Sandlot Brewery,"Blake St, Denver, CO 80205"
Los Angeles Angels of Anaheim,,Angel Stadium,Santa Monica Brew Works,"1920 Colorado Ave C, Santa Monica, CA 90404"
Los Angeles Dodgers,,Dodger Stadium,Santa Monica Brew Works,"1920 Colorado Ave C, Santa Monica, CA 90404"
Kansas City Royals,Sante Fe Java Stout,Kauffman Stadium,Sante Fe Brewing,"35 Fire Pl, Santa Fe, NM 87508"
Seattle Mariners,Stone Brewing Company IPA,T-Mobile Park,Saucony Creek Brewing Company + Gastropub,"15032 Kutztown Rd, Kutztown, PA 19530"
Kansas City Royals,,Kauffman Stadium,Schlafly Bottleworks,"7260 Southwest Ave, Maplewood, MO 63143"
Seattle Mariners,Schooner Exact King Street Brown,T-Mobile Park,Schooner Exact Brewing Company,"3901 1st Ave S, Seattle, WA 98134"
Houston Astros,,Minute Maid Park,Shiner Brewery,"603 E Brewery St, Shiner, TX 77984"
Chicago White Sox,Sierra Nevada Pale Ale,Guaranteed Rate Field,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
San Francisco Giants,Sierra Nevada Pale Ale,Oracle Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
Washington Nationals,Sierra Nevada Pale Ale,Nationals Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
Oakland Athletics,Sierra Nevada Pale Ale,RingCentral Coliseum,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
Texas Rangers,Sierra Nevada Pale Ale,Globe Life Park in Arlington,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
Milwaukee Brewers,Sierra Nevada Torpedo Extra IPA,Miller Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
Milwaukee Brewers,Sierra Nevada Pale Ale,Miller Park,Sierra Nevada Brewing Co.,"1075 E 20th St, Chico, CA 95928"
New York Mets,Sixpoint Brewery Bengali Tiger,Citi Field,Sixpoint Brewery,"40 Van Dyke St, Brooklyn, NY 11231"
Toronto Blue Jays,,Rogers Centre,Sleeman Brewery,"551 Clair Rd W, Guelph, ON N1L 1E9, Canada"
Philadelphia Phillies,Sly Fox Brewing Company Pikeland Pils,Citizens Bank Park,Sly Fox Brewing Company,"331 Circle of Progress Dr, Pottstown, PA 19464"
Boston Red Sox,"Smuttynose IPA ""Finest Kind""",Fenway Park,Smuttynose Brewing Company,"105 Towle Farm Rd, Hampton, NH 03842"
Kansas City Royals,,Kauffman Stadium,Sol Chelada,
Pittsburgh Pirates,,PNC Park,Southern Tier Brewing Company,"316 N Shore Dr, Pittsburgh, PA 15212"
New York Mets,Southern Tier Brewing Company IPA,Citi Field,Southern Tier Brewing Company,"316 N Shore Dr, Pittsburgh, PA 15212"
Baltimore Orioles,Southern Tier 422 Wheat Ale,Oriole Park at Camden Yards,Southern Tier Brewing Company,"316 N Shore Dr, Pittsburgh, PA 15212"
New York Mets,Spaten-Franziskaner-Bräu Franziskaner Hefe-Weisse,Citi Field,Spaten-Franziskaner-Bräu,"Marsstraße 46-48, 80335 München, Germany"
Seattle Mariners,Spire Dark & Dry; Dry cider,T-Mobile Park,Spire Mountain Ciders,"515 Jefferson St SE, Olympia, WA 98501"
Milwaukee Brewers,,Miller Park,New Glarus Brewing Company,"2400 WI-69, New Glarus, WI 53574"
Milwaukee Brewers,,Miller Park,Sprecher Brewery,"701 W Glendale Ave, Milwaukee, WI 53209"
Baltimore Orioles,Starr Hill the Love,Oriole Park at Camden Yards,Starr Hill Brewery,"5391 Three Notch'd Rd, Crozet, VA 22932"
Toronto Blue Jays,Stella Artois,Rogers Centre,Stella Artois,"Aarschotsesteenweg 20, 3000 Leuven, Belgium"
Los Angeles Dodgers,Stone Brewing Co. Smoked Porter,Dodger Stadium,Stone Brewing Company,"2816 Historic Decatur Rd, San Diego, CA 92106"
Baltimore Orioles,Stone Sublimely Self-Righteous Ale,Oriole Park at Camden Yards,Stone Brewing Company,"2816 Historic Decatur Rd, San Diego, CA 92106"
Arizona Diamondbacks,,Chase Field,Stone Brewing Company,"2816 Historic Decatur Rd, San Diego, CA 92106"
San Diego Padres,Stone Brewing Co. Ruination IPA,Petco Park,Stone Brewing Company,"2816 Historic Decatur Rd, San Diego, CA 92106"
Oakland Athletics,Strike Brewing Co. Wit,RingCentral Coliseum,Strike Brewing Co.,"2099 S 10th St #30, San Jose, CA 95112"
Seattle Mariners,,T-Mobile Park,Sumerian Brewing Company,"15510 Redmond-Woodinville Rd NE E110, Woodinville, WA 98072"
Minnesota Twins,Summit Saga,Target Field,Summit Brewing Company,"910 Montreal Cir, St Paul, MN 55102"
Minnesota Twins,Surly Furious,Target Field,Surly Brewing Company,"520 Malcolm Ave SE, Minneapolis, MN 55414"
Atlanta Braves,Sweetwater IPA,SunTrust Park,SweetWater Brewing Company,"195 Ottley Dr NE, Atlanta, GA 30324"
Miami Marlins,Sweetwater Brewing Co. IPA,Marlins Park,SweetWater Brewing Company,"195 Ottley Dr NE, Atlanta, GA 30324"
Cincinnati Reds,SweetWater 420 Extra Pale Ale,Great American Ball Park,SweetWater Brewing Company,"195 Ottley Dr NE, Atlanta, GA 30324"
Cincinnati Reds,,Great American Ball Park,Taft's Ale House,"1429 Race St, Cincinnati, OH 45202"
Tampa Bay Rays,,Tropicana Field,Tampa Bay Brewing,"1600 E 8th Ave, Tampa, FL 33605"
San Francisco Giants,,Oracle Park,Temescal Brewing,"4115 Telegraph Ave, Oakland, CA 94609"
Milwaukee Brewers,,Miller Park,Terrapin Beer Co.,"265 Newton Bridge Rd, Athens, GA 30607"
Atlanta Braves,Terrapin Hopsecutioner,SunTrust Park,Terrapin Beer Co.,"265 Newton Bridge Rd, Athens, GA 30607"
Cleveland Indians,The Brew Kettle White Rajah,Progressive Field,The Brew Kettle Brewery,"8377 Pearl Rd, Strongsville, OH 44136"
Baltimore Orioles,,Oriole Park at Camden Yards,The Brewer's Art,"1106 N Charles St, Baltimore, MD 21201"
San Francisco Giants,,Oracle Park,The Bruery,"717 Dunn Way, Placentia, CA 92870"
Arizona Diamondbacks,Phoenix Ale Brewery Camelback IPA,Chase Field,The Phoenix Ale Brewery,"3002 E Washington St, Phoenix, AZ 85034"
St. Louis Cardinals,Schlafly Pale Ale,Busch Stadium,The Schlafly Tap Room,"2100 Locust St, St. Louis, MO 63103"
Milwaukee Brewers,,Miller Park,Third Space Brewing,"1505 W St Paul Ave, Milwaukee, WI 53233"
Minnesota Twins,Third Street Lost Trout,Target Field,Third Street Brewhouse,"219 Red River Ave N, Cold Spring, MN 56320"
Milwaukee Brewers,,Miller Park,Tierra Buena,
Milwaukee Brewers,,Miller Park,Titletown Brewing Company,"200 Dousman St, Green Bay, WI 54303"
San Diego Padres,,Petco Park,AleSmith Brewing Company,"9990 AleSmith Ct, San Diego, CA 92126"
Los Angeles Angels of Anaheim,,Angel Stadium,Towne Park Brewery & Taproom,"1566 W Lincoln Ave, Anaheim, CA 92801"
Pittsburgh Pirates,,PNC Park,Troegs Independent Brewing,
Philadelphia Phillies,,Citizens Bank Park,Troegs Independent Brewing,"200 Hersheypark Dr, Hershey, PA 17033"
San Francisco Giants,Trumer Pils,Oracle Park,Trumer Brauerei Berkeley,"1404 Fourth St, Berkeley, CA 94710"
Oakland Athletics,Trumer Pil,RingCentral Coliseum,Trumer Brauerei Berkeley,"1404 Fourth St, Berkeley, CA 94710"
Seattle Mariners,Two Beers EVO IPA,T-Mobile Park,Two Beers Brewing Co.,"4700 Ohio Ave S, Seattle, WA 98134"
Chicago White Sox,,Guaranteed Rate Field,Two Brothers Tap House and Brewery,"4321 N Scottsdale Rd, Scottsdale, AZ 85251"
Baltimore Orioles,,Oriole Park at Camden Yards,Union Craft Brewing,"1700 W 41st St #420, Baltimore, MD 21211"
Colorado Rockies,,Coors Field,Upslope Brewing,"1898 S Flatiron Ct, Boulder, CO 80301"
St. Louis Cardinals,Urban Chestnut Hopfe,Busch Stadium,Urban Chestnut Brewing Company,"3229 Washington Ave, St. Louis, MO 63103"
Miami Marlins,,Marlins Park,Veza Sur Brewing,"55 NW 25th St, Miami, FL 33127"
Pittsburgh Pirates,Victory Hop Devil Ale,PNC Park,Victory Brewing Company,"420 Acorn Ln, Downingtown, PA 19335"
Philadelphia Phillies,Victory Brewing Company Hop Devil Ale,Citizens Bank Park,Victory Brewing Company,"420 Acorn Ln, Downingtown, PA 19335"
Seattle Mariners,Victory Prima Pils,T-Mobile Park,Victory Brewing Company,"420 Acorn Ln, Downingtown, PA 19335"
Boston Red Sox,,Fenway Park,Wachusett Brewing Company,"175 State Rd E, Westminster, MA 01473"
Minnesota Twins,,Target Field,Waconia Brewing Company,"255 W Main St, Waconia, MN 55387"
Cincinnati Reds,Warped Wing Ermal's Belgian Style Cream Ale,Great American Ball Park,Warped Wing Brewing Company,"26 Wyandot St, Dayton, OH 45402"
Milwaukee Brewers,,Miller Park,Wisconsin Brewing Company,"1079 American Way, Verona, WI 53593"
Philadelphia Phillies,,Citizens Bank Park,Yards Brewing Company,"500 Spring Garden St, Philadelphia, PA 19123"
Miami Marlins,,Marlins Park,"D.G. Yuengling & Son, Inc.","420 Mahantongo St, Pottsville, PA 17901"
Pittsburgh Pirates,,PNC Park,"D.G. Yuengling & Son, Inc.","420 Mahantongo St, Pottsville, PA 17901"
Atlanta Braves,Yuengling,SunTrust Park,"D.G. Yuengling & Son, Inc.","420 Mahantongo St, Pottsville, PA 17901"
Atlanta Braves,Yuengling Light,SunTrust Park,"D.G. Yuengling & Son, Inc.","420 Mahantongo St, Pottsville, PA 17901"
Cincinnati Reds,Yuengling Traditional Lager,Great American Ball Park,"D.G. Yuengling & Son, Inc.","420 Mahantongo St, Pottsville, PA 17901"
