Teams,Logos,Beers,Brewery,Stadium Name,City,Latitude,Longitude
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams),Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Goose Island Beer Co. Honker's Ale, Goose Island Beer Co. ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Arizona Diamondbacks,images/Arizona-Diamondbacks-Logo.png,Phoenix Ale Brewery Camelback IPA, The Phoenix Ale Brewery ,Chase Field,"Phoenix, AZ",33.445526,-112.066721
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater IPA,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater LowRYEder IPA, SweetWater Brewing Company ,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater 420 Extra Pale Ale,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Sweetwater Georgia Brow,SweetWater Brewing Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Terrapin Hopsecutioner,Terrapin Beer Company,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Yuengling,Yuengling Brewery,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Yuengling Light,Yuengling Brewery,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Goose Island Brewing Co. IPA,,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Goose Island Brewing Co. 312,,Turner Field,"Atlanta, GA",33.734805,-84.389996
Atlanta Braves,images/Atlanta-Braves-Logo.png,Blue Point Toasted Lager, Blue Point Brewing Company ,Turner Field,"Atlanta, GA",33.734805,-84.389996
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's Rick's Red Ale,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's Wild Pitch Wheat,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's Rain Delay IPA,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dempsey's The '83 Golden Ale,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Flying Dog Snake Dog IPA,Flying Dog Brewery,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Flying Dog UnderDog Atlantic Lager, Flying Dog Brewery ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Flying Dog Gonzo Imperial Porter,Flying Dog Brewery,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Stone Levitation Ale,Stone Brewing,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Stone Sublimely Self-Righteous Ale, Stone Brewing ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Heavy Seas Loose Canno,Heavy Seas Beer,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Heavy Seas Cutlass Amber Lager,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Heavy Seas Small Craft Warning, Heavy Seas Beer ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Heavy Seas Peg Leg Stout,Heavy Seas Beer,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,The Raven Special Lager,B.W. Beer Works USA,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Old Dominion Oak Barrel Stout,Fordham & Dominion Brewing Company,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dogfish Head Namaste,Dogfish Head Craft Brewery,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Dogfish Head 90 Minute IPA, Dogfish Head Craft Brewery ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Shock Top Belgian Wheat,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Goose Island Honkers Ale, Goose Island Beer Co. ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Fordham Copperhead Ale, Fordham Brewing Company ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,New Belgium Fat Tire,New Belgium Brewing,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Oscar Blues Dale's Pale Ale,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Southern Tier 422 Wheat Ale, Southern Tier Brewing Company ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Lagunitas Pils,Lagunitas Brewing Company,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Band of Brewers Third Shift,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Anchor Steam Beer,Anchor Brewing Company,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Starr Hill the Love,Starr Hill Brewery,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Lancaster Strawberry Wheat,Lancaster Brewing Company,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Leinenkugel Summer Shandy,Jacob Leinenkugel Brewing Company,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Goose Island Sofie,Goose Island Beer Co.,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Full Sail Session Black Lager, Full Sail Brewing Company ,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Baltimore Orioles,images/Baltimore-Orioles-logo.png,Evolution Craft Brewing Lot #3 India Pale Ale,,Oriole Park at Camden Yards,"Baltimore, MD",39.283964,-76.621618
Boston Red Sox,images/Boston-Red-Sox-logo.png,"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company,Fenway Park,"Boston, MA",42.346619,-71.096961
Boston Red Sox,images/Boston-Red-Sox-logo.png,Goose Island Beer Co. Honker's Ale, Goose Island Beer Co. ,Fenway Park,"Boston, MA",42.346619,-71.096961
Boston Red Sox,images/Boston-Red-Sox-logo.png,Harpoon Octoberfest Beer,Harpoon Brewery & Beer Hall,Fenway Park,"Boston, MA",42.346619,-71.096961
Boston Red Sox,images/Boston-Red-Sox-logo.png,Cisco Brewers Whale's Tale Pale Ale, Cisco Brewers Inc. ,Fenway Park,"Boston, MA",42.346619,-71.096961
Chicago Cubs,images/Chicago-Cubs-Logo.png,Goose Island Beer Co. Sofie,Goose Island Beer Co.,Wrigley Field,"Chicago, IL",41.947856,-87.655887
Chicago Cubs,images/Chicago-Cubs-Logo.png,Goose Island Beer Co. Matilda,Goose Island Beer Co.,Wrigley Field,"Chicago, IL",41.947856,-87.655887
Chicago Cubs,images/Chicago-Cubs-Logo.png,Goose Island Beer Co. Green Line, Goose Island Beer Co. ,Wrigley Field,"Chicago, IL",41.947856,-87.655887
Chicago Cubs,images/Chicago-Cubs-Logo.png,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. ,Wrigley Field,"Chicago, IL",41.947856,-87.655887
Chicago White Sox,images/Chicago-White-Sox-Logo.png,Half Acre Beer Company Daisy Cutter Pale Ale, Half Acre Beer Company ,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
Chicago White Sox,images/Chicago-White-Sox-Logo.png,Revolution Brewing Company Anti-Hero,,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
Chicago White Sox,images/Chicago-White-Sox-Logo.png,Lagunitas Brewing Company DayTime,Lagunitas Brewing Company,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
Chicago White Sox,images/Chicago-White-Sox-Logo.png,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
Chicago White Sox,images/Chicago-White-Sox-Logo.png,Rogue Ales Dead Guy Ale,Rogue Ales,U.S. Cellular Field,"Chicago, IL",41.829908,-87.63354
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Rhinegeist Truth American IPA,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Shock Top Belgian White,Anheuser-Busch,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Mad Tree PsycHOPathy IPA,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,50 West Wire to Wire Wheat,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,New Belgium Fat Tire Amber Ale, New Belgium Brewing ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Mt. Carmel Nut Brown Ale, Mt. Carmel Brewing Company ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Christian Moerlein Altered Pale Ale, Christian Moerlein Brewing Company ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Christian Moerlein Over-The-Rhine Ale,Christian Moerlein Brewing Company,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Blank Slate The Lesser Path IPA,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Listermann Leopold Belgium Blonde,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Rivertown Blueberry Lager, Rivertown Brewery & Barrel House ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Braxton Brewing Sparky Hoppy Wheat Ale,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Kentucky Bourbon Barrel Ale,Alltech's Lexington Brewing and Distilling Co.,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Warped Wing Ermal's Belgian Style Cream Ale, Warped Wing Brewing Company ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,21st Amendment Hell or High Watermelon Wheat, 21st Amendment Brewery ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Bell's Oberon Pale Wheat Ale,,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Founders All Day IPA,Founders Brewing Company,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Deschutes Mirror Pond Pale Ale,Deschutes Brewery,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,SweetWater 420 Extra Pale Ale,SweetWater Brewing Company,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Yuengling Traditional Lager, Yuengling Brewery ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Leinenkugel's Summer Shandy,Jacob Leinenkugel Brewing Company,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Goose Island Urban 312 Pale Ale, Goose Island Beer Co. ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Goose Island IPA,Goose Island Beer Co.,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cincinnati Reds,images/Cincinnati-Reds-Logo.png,Sam Adams Summer Ale, Boston Beer Company (Samuel Adams) ,Great American Ball Park,"Cincinnati, OH",39.097935,-84.508158
Cleveland Indians,images/Cleveland-Indians-Logo.png,Fat Head's Head Hunter IPA,,Progressive Field,"Cleveland, OH",41.496192,-81.685238
Cleveland Indians,images/Cleveland-Indians-Logo.png,The Brew Kettle White Rajah,The Brew Kettle Taproom & Smokehouse / Production Works,Progressive Field,"Cleveland, OH",41.496192,-81.685238
Cleveland Indians,images/Cleveland-Indians-Logo.png,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Caf?? & General Store,Progressive Field,"Cleveland, OH",41.496192,-81.685238
Cleveland Indians,images/Cleveland-Indians-Logo.png,Dogfish Head 60 Minute IPA, Dogfish Head Craft Brewery ,Progressive Field,"Cleveland, OH",41.496192,-81.685238
Cleveland Indians,images/Cleveland-Indians-Logo.png,Great Lakes Dortmunder Gold,Great Lakes Brewing Co.,Progressive Field,"Cleveland, OH",41.496192,-81.685238
Colorado Rockies,images/Colorado-Rockies-Logo.png,Great Divide Brewing Co. Titan IPA,,Coors Field,"Denver, CO",39.755891,-104.994198
Colorado Rockies,images/Colorado-Rockies-Logo.png,Oskar Blues Dale's Pale Ale,Oskar Blues Grill & Brew,Coors Field,"Denver, CO",39.755891,-104.994198
Colorado Rockies,images/Colorado-Rockies-Logo.png,Avery India Pale Ale (IPA),Avery Brewing Company,Coors Field,"Denver, CO",39.755891,-104.994198
Colorado Rockies,images/Colorado-Rockies-Logo.png,Odell 90 Shilling Ale,,Coors Field,"Denver, CO",39.755891,-104.994198
Colorado Rockies,images/Colorado-Rockies-Logo.png,Odell Easy Street Wheat,Odell Brewing Company,Coors Field,"Denver, CO",39.755891,-104.994198
Detroit Tigers,images/Detroit-Tigers-Logo.png,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Caf?? & General Store,Comerica Park,"Detroit, MI",42.339227,-83.049506
Detroit Tigers,images/Detroit-Tigers-Logo.png,Founders Porter,Founders Brewing Company,Comerica Park,"Detroit, MI",42.339227,-83.049506
Detroit Tigers,images/Detroit-Tigers-Logo.png,Founders Red's Rye IPA,Founders Brewing Company,Comerica Park,"Detroit, MI",42.339227,-83.049506
Detroit Tigers,images/Detroit-Tigers-Logo.png,Founders Dirty Bastard,Founders Brewing Company,Comerica Park,"Detroit, MI",42.339227,-83.049506
Houston Astros,images/Houston-Astros-Logo.png,Saint Arnold Elissa IPA,Saint Arnold Brewing Company,Minute Maid Park,"Houston, TX",29.756965,-95.354824
Houston Astros,images/Houston-Astros-Logo.png,Saint Arnold Amber Ale, Saint Arnold Brewing Company ,Minute Maid Park,"Houston, TX",29.756965,-95.354824
Houston Astros,images/Houston-Astros-Logo.png,Saint Arnold Fancy Lawnmower, Saint Arnold Brewing Company ,Minute Maid Park,"Houston, TX",29.756965,-95.354824
Houston Astros,images/Houston-Astros-Logo.png,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) ,Minute Maid Park,"Houston, TX",29.756965,-95.354824
Houston Astros,images/Houston-Astros-Logo.png,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. ,Minute Maid Park,"Houston, TX",29.756965,-95.354824
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Unfiltered Wheat, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Pale Ale,Boulevard Brewing Co.,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Tank 7 Farmhouse Ale, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard The Calling, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard KC Pils, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard 80 Acre, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Single-Wide IPA, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Imperial Stout,Boulevard Brewing Co.,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Boulevard Spring Belle, Boulevard Brewing Co. ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Ommegang Cooperstown, Brewery Ommegang ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Ommegang Three Philosophers,Brewery Ommegang,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Sante Fe Java Stout,,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Mothers Three Blind Mice,Mother's Brewing Company,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Founders All-Day IPA,,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,River North White,River North Brewery,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Breckenridge Agave Wheat, Breckenridge Brewery ,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Kansas-City-Royals-Logo.png,Martin City Abbey,Martin City Brewing Company,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Kansas City Royals,images/Anaheim-Angels-Logo.png,Duvel,Brouwerij Duvel Moortgat NV,Kauffman Stadium,"Kansas City, MO",39.051098,-94.481115
Los Angeles Angels of Anaheim,images/Anaheim-Angels-Logo.png,Stone Brewing Co. Arrogant Bastard Ale,Arrogant Consortia,Angel Stadium of Anaheim,"Anaheim, CA",33.799925,-117.883194
Los Angeles Angels of Anaheim,images/Anaheim-Angels-Logo.png,Hangar 24 Brewery Betty,Hangar 24 Brewing,Angel Stadium of Anaheim,"Anaheim, CA",33.799925,-117.883194
Los Angeles Angels of Anaheim,images/Anaheim-Angels-Logo.png,Bootlegger's Brewery Palomino American Pale Ale, Bootlegger's Brewery ,Angel Stadium of Anaheim,"Anaheim, CA",33.799925,-117.883194
