,Teams,Beers,Brewery
0,Arizona Diamondbacks,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams)
1,Arizona Diamondbacks,Goose Island Beer Co. Honker's Ale, Goose Island Beer Co. 
2,Arizona Diamondbacks,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. 
3,Arizona Diamondbacks,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) 
4,Arizona Diamondbacks,Phoenix Ale Brewery Camelback IPA, The Phoenix Ale Brewery 
5,Atlanta Braves,Sweetwater IPA,SweetWater Brewing Company
6,Atlanta Braves,Sweetwater LowRYEder IPA, SweetWater Brewing Company 
7,Atlanta Braves,Sweetwater 420 Extra Pale Ale,SweetWater Brewing Company
8,Atlanta Braves,Sweetwater Georgia Brow,SweetWater Brewing Company
9,Atlanta Braves,Terrapin Hopsecutioner,Terrapin Beer Company
10,Atlanta Braves,Yuengling,Yuengling Brewery
11,Atlanta Braves,Yuengling Light,Yuengling Brewery
12,Atlanta Braves,Goose Island Brewing Co. IPA,
13,Atlanta Braves,Goose Island Brewing Co. 312,
14,Atlanta Braves,Blue Point Toasted Lager, Blue Point Brewing Company 
15,Boston Red Sox,"Smuttynose IPA ""Finest Kind""",Smuttynose Brewing Company
16,Boston Red Sox,Goose Island Beer Co. Honker's Ale, Goose Island Beer Co. 
17,Boston Red Sox,Harpoon Octoberfest Beer,Harpoon Brewery & Beer Hall
18,Boston Red Sox,Cisco Brewers Whale's Tale Pale Ale, Cisco Brewers Inc. 
19,Chicago Cubs,Goose Island Beer Co. Sofie,Goose Island Beer Co.
20,Chicago Cubs,Goose Island Beer Co. Matilda,Goose Island Beer Co.
21,Chicago Cubs,Goose Island Beer Co. Green Line, Goose Island Beer Co. 
22,Chicago Cubs,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. 
23,Chicago White Sox,Half Acre Beer Company Daisy Cutter Pale Ale, Half Acre Beer Company 
24,Chicago White Sox,Revolution Brewing Company Anti-Hero,
25,Chicago White Sox,Lagunitas Brewing Company DayTime,Lagunitas Brewing Company
26,Chicago White Sox,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
27,Chicago White Sox,Rogue Ales Dead Guy Ale,Rogue Ales
28,Colorado Rockies,Great Divide Brewing Co. Titan IPA,
29,Colorado Rockies,Oskar Blues Dale's Pale Ale,Oskar Blues Grill & Brew
30,Colorado Rockies,Avery India Pale Ale (IPA),Avery Brewing Company
31,Colorado Rockies,Odell 90 Shilling Ale,
32,Colorado Rockies,Odell Easy Street Wheat,Odell Brewing Company
33,Detroit Tigers,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Café & General Store
34,Detroit Tigers,Founders Porter,Founders Brewing Company
35,Detroit Tigers,Founders Red's Rye IPA,Founders Brewing Company
36,Detroit Tigers,Founders Dirty Bastard,Founders Brewing Company
37,Houston Astros,Saint Arnold Elissa IPA,Saint Arnold Brewing Company
38,Houston Astros,Saint Arnold Amber Ale, Saint Arnold Brewing Company 
39,Houston Astros,Saint Arnold Fancy Lawnmower, Saint Arnold Brewing Company 
40,Houston Astros,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) 
41,Houston Astros,Goose Island Beer Co. 312 Urban Wheat, Goose Island Beer Co. 
42,Los Angeles Angels of Anaheim,Stone Brewing Co. Arrogant Bastard Ale,Arrogant Consortia
43,Los Angeles Angels of Anaheim,Hangar 24 Brewery Betty,Hangar 24 Brewing
44,Los Angeles Angels of Anaheim,Bootlegger's Brewery Palomino American Pale Ale, Bootlegger's Brewery 
45,Los Angeles Angels of Anaheim,Goose Island Beer Co. India Pale Ale,Goose Island Beer Co.
46,Los Angeles Angels of Anaheim,New Belgium Brewing Ranger,New Belgium Brewing
47,Los Angeles Dodgers,Stone Brewing Co. Stone IPA,Firestone Walker Brewing Co.
48,Los Angeles Dodgers,Stone Brewing Co. Arrogant Bastard Ale,Arrogant Consortia
49,Los Angeles Dodgers,Stone Brewing Co. Smoked Porter,Stone Brewing
50,Los Angeles Dodgers,Anchor Brewing Company Anchor Steam Beer,Anchor Brewing Company
51,Miami Marlins,Goose Island Beer Co. Sofie,Goose Island Beer Co.
52,Miami Marlins,Goose Island Beer Co. Matilda,Goose Island Beer Co.
53,Miami Marlins,Goose Island Beer Co.India Pale Ale,
54,Miami Marlins,Sweetwater Brewing Co. IPA,
55,New York Mets,Spaten-Franziskaner-Bräu Franziskaner Hefe-Weisse,Spaten-Franziskaner-Bräu
56,New York Mets,Sixpoint Brewery Bengali Tiger,Sixpoint Brewery
57,New York Mets,Sixpoint Brewery Sweet Action,Sixpoint Brewery
58,New York Mets,Sixpoint Brewery The Crisp, Sixpoint Brewery 
59,New York Mets,Southern Tier Brewing Company IPA,Southern Tier Brewing Company
60,New York Yankees,Goose Island Beer Co. Honker's Ale ,
61,New York Yankees,Blue Moon Belgian White ,
62,New York Yankees,Goose Island Beer Co. 312 Urban Wheat , Goose Island Beer Co. 
63,Philadelphia Phillies,Ommegang Rare Vos, Brewery Ommegang 
64,Philadelphia Phillies,Victory Brewing Company Hop Devil Ale,
65,Philadelphia Phillies,Victory Brewing Company Prima Pils,Victory Brewing Company - Downingtown
66,Philadelphia Phillies,Victory Brewing Company,Victory Brewing Company - Downingtown
67,Philadelphia Phillies,Sly Fox Brewing Company Pikeland Pils, Sly Fox Brewing Company 
68,San Diego Padres,Ballast Point Brewing Co. Sculpin IPA,
69,San Diego Padres,Stone Brewing Co. Ruination IPA,
70,San Diego Padres,Stone Brewing Co. Oaked Arrogant Bastard Ale,
71,San Diego Padres,Stone Brewing Co. Sublimely Self-Righteous Ale,
72,San Diego Padres,Green Flash West Coast I.P.A.,
73,San Francisco Giants,Anchor Porter,Anchor Brewing Company
74,San Francisco Giants,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
75,San Francisco Giants,Anchor Steam Beer,Anchor Brewing Company
76,San Francisco Giants,Lagunitas IPA,Lagunitas Brewing Company
77,San Francisco Giants,Trumer Pils,Trumer Brauerei Berkeley
78,Seattle Mariners,Ninkasi Vanilla Oatis Stout,
79,Seattle Mariners,Northwest Brewing Joker Amber Ale,
80,Seattle Mariners,Black Raven Trickster IPA, Black Raven Brewing Co. 
81,Seattle Mariners,Black Raven Session IPA,Black Raven Brewing Co.
82,Seattle Mariners,Fremont Interurban IPA,Fremont Brewing Company
83,Seattle Mariners,Iron Horse Brewing Irish Death,
84,Seattle Mariners,Spire Dark &amp; Dry cider,
85,Seattle Mariners,Stone Brewing Company IPA,Saucony Creek Brewing Company + Gastropub
86,Seattle Mariners,Schooner Exact King Street Brown, Schooner Exact Brewing Company 
87,Seattle Mariners,Pike 5X Stout,
88,Seattle Mariners,Pike Kilt Lifter,Pike Brewing Company
89,Seattle Mariners,Pike Naughty Nellie, Pike Brewing Company 
90,Seattle Mariners,21st Amendment Watermelon wheat, 21st Amendment Brewery 
91,Seattle Mariners,7 Seas Port Royal stout,7 Seas Brewery and Taproom
92,Seattle Mariners,Full Sail Amber,Full Sail Brewing Company
93,Seattle Mariners,Victory Prima Pils,Victory Brewing Company - Downingtown
94,Seattle Mariners,Bale Breaker Top Cutter IPA,
95,Seattle Mariners,Rogue Hazlenut Brown Ale,
96,Seattle Mariners,Two Beers EVO IPA,Two Beers Brewing Co.
97,Seattle Mariners,Diamond Knot IPA,Diamond Knot Brewery
98,Washington Nationals,Dogfish Head Brewery 60 Minute IPA, Dogfish Head Craft Brewery 
99,Washington Nationals,Flying Dog Brewery Gonzo Imperial Porter,Flying Dog Brewery
100,Washington Nationals,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
101,Washington Nationals,Boulevard Brewing Co. Dark Truth Stout,
102,Washington Nationals,Allagash Saison Ale,Allagash Brewing Company
103,St. Louis Cardinals,Goose Island IPA ,
104,St. Louis Cardinals,Goose Island Honkers ,
105,St. Louis Cardinals,O'Fallon Wheach,O'Fallon Brewery
106,St. Louis Cardinals,Shock Top Wheat,Anheuser-Busch
107,St. Louis Cardinals,Schlafly Pale Ale,The Schlafly Tap Room
108,St. Louis Cardinals,Schlafly Summer Lager, The Schlafly Tap Room 
109,St. Louis Cardinals,Schlafly Raspberry Hefeweize, The Schlafly Tap Room 
110,St. Louis Cardinals,Urban Chestnut Zwickel,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten
111,St. Louis Cardinals,Urban Chestnut Stli, Urban Chestnut Brewing Company - Midtown Brewery & Biergarten 
112,St. Louis Cardinals,Urban Chestnut Hopfe,Urban Chestnut Brewing Company - Midtown Brewery & Biergarten
113,St. Louis Cardinals,Sam Adams Boston Lager,Boston Beer Company (Samuel Adams)
114,St. Louis Cardinals,Boulevard Brewing Co.,Boulevard Brewing Co.
115,St. Louis Cardinals,Ranger IPA,
116,St. Louis Cardinals,Blue Moon ,
117,St. Louis Cardinals,Leinenkugel ,Jacob Leinenkugel Brewing Company
118,Baltimore Orioles,Dempsey's Rick's Red Ale,
119,Baltimore Orioles,Dempsey's Wild Pitch Wheat,
120,Baltimore Orioles,Dempsey's Rain Delay IPA,
121,Baltimore Orioles,Dempsey's The '83 Golden Ale,
122,Baltimore Orioles,Flying Dog Snake Dog IPA,Flying Dog Brewery
123,Baltimore Orioles,Flying Dog UnderDog Atlantic Lager, Flying Dog Brewery 
124,Baltimore Orioles,Flying Dog Gonzo Imperial Porter,Flying Dog Brewery
125,Baltimore Orioles,Stone Levitation Ale,Stone Brewing
126,Baltimore Orioles,Stone Sublimely Self-Righteous Ale, Stone Brewing 
127,Baltimore Orioles,Heavy Seas Loose Canno,Heavy Seas Beer
128,Baltimore Orioles,Heavy Seas Cutlass Amber Lager,
129,Baltimore Orioles,Heavy Seas Small Craft Warning, Heavy Seas Beer 
130,Baltimore Orioles,Heavy Seas Peg Leg Stout,Heavy Seas Beer
131,Baltimore Orioles,The Raven Special Lager,B.W. Beer Works USA
132,Baltimore Orioles,Old Dominion Oak Barrel Stout,Fordham & Dominion Brewing Company
133,Baltimore Orioles,Dogfish Head Namaste,Dogfish Head Craft Brewery
134,Baltimore Orioles,Dogfish Head 90 Minute IPA, Dogfish Head Craft Brewery 
135,Baltimore Orioles,Shock Top Belgian Wheat,
136,Baltimore Orioles,Goose Island Honkers Ale, Goose Island Beer Co. 
137,Baltimore Orioles,Fordham Copperhead Ale, Fordham Brewing Company 
138,Baltimore Orioles,New Belgium Fat Tire,New Belgium Brewing
139,Baltimore Orioles,Oscar Blues Dale's Pale Ale,
140,Baltimore Orioles,Southern Tier 422 Wheat Ale, Southern Tier Brewing Company 
141,Baltimore Orioles,Lagunitas Pils,Lagunitas Brewing Company
142,Baltimore Orioles,Band of Brewers Third Shift,
143,Baltimore Orioles,Anchor Steam Beer,Anchor Brewing Company
144,Baltimore Orioles,Starr Hill the Love,Starr Hill Brewery
145,Baltimore Orioles,Lancaster Strawberry Wheat,Lancaster Brewing Company
146,Baltimore Orioles,Leinenkugel Summer Shandy,Jacob Leinenkugel Brewing Company
147,Baltimore Orioles,Goose Island Sofie,Goose Island Beer Co.
148,Baltimore Orioles,Full Sail Session Black Lager, Full Sail Brewing Company 
149,Baltimore Orioles,Evolution Craft Brewing Lot #3 India Pale Ale,
150,Minnesota Twins,Indeed Dandy Lager, Indeed Brewing Company 
151,Minnesota Twins,Indeed Day Tripper,Indeed Brewing Company
152,Minnesota Twins,Indeed Shenanigans,Indeed Brewing Company
153,Minnesota Twins,Summit EPA,
154,Minnesota Twins,Summit Hopvale, Summit Brewing Company 
155,Minnesota Twins,Summit Maibock,Summit Brewing Company
156,Minnesota Twins,Summit Saga,Summit Brewing Company
157,Minnesota Twins,Surly Furious,Surly Brewing Company
158,Minnesota Twins,Surly Bender,Surly Brewing Company
159,Minnesota Twins,Surly Hell,Surly Brewing Company
160,Minnesota Twins,Fulton Lonely Blonde,Fulton Beer
161,Minnesota Twins,Fulton Sweet Child of Vine,Fulton Beer
162,Minnesota Twins,Grainbelt Premium,
163,Minnesota Twins,Grainbelt Nordeast,
164,Minnesota Twins,Grainbelt Light,
165,Minnesota Twins,Third Street Three Way,Third Street Brewhouse
166,Minnesota Twins,Third Street Lost Trout, Third Street Brewhouse 
167,Minnesota Twins,Lift Bridge Farm Girl,Lift Bridge Brewery
168,Minnesota Twins,Lift Bridge Hop Dish,Lift Bridge Brewery
169,Minnesota Twins,Bauhaus Brew Labs Wonderstuff Neü Bohemian Pilsner,
170,Minnesota Twins,Bauhaus Brew Labs Sky-Five!,
171,Minnesota Twins,Bauhaus Brew Labs Midwest Cöast IPA,
172,Minnesota Twins,Bauhaus Brew Labs Stargrazer (rotating),
173,Minnesota Twins,Bauhaus Brew Labs Wagon Party (rotating),
174,Minnesota Twins,North Lake Brewing Company Honey Brown Lager,
175,Cincinnati Reds,Rhinegeist Truth American IPA,
176,Cincinnati Reds,Shock Top Belgian White,Anheuser-Busch
177,Cincinnati Reds,Mad Tree PsycHOPathy IPA,
178,Cincinnati Reds,50 West Wire to Wire Wheat,
179,Cincinnati Reds,New Belgium Fat Tire Amber Ale, New Belgium Brewing 
180,Cincinnati Reds,Mt. Carmel Nut Brown Ale, Mt. Carmel Brewing Company 
181,Cincinnati Reds,Christian Moerlein Altered Pale Ale, Christian Moerlein Brewing Company 
182,Cincinnati Reds,Christian Moerlein Over-The-Rhine Ale,Christian Moerlein Brewing Company
183,Cincinnati Reds,Blank Slate The Lesser Path IPA,
184,Cincinnati Reds,Listermann Leopold Belgium Blonde,
185,Cincinnati Reds,Rivertown Blueberry Lager, Rivertown Brewery & Barrel House 
186,Cincinnati Reds,Braxton Brewing Sparky Hoppy Wheat Ale,
187,Cincinnati Reds,Kentucky Bourbon Barrel Ale,Alltech's Lexington Brewing and Distilling Co.
188,Cincinnati Reds,Warped Wing Ermal's Belgian Style Cream Ale, Warped Wing Brewing Company 
189,Cincinnati Reds,21st Amendment Hell or High Watermelon Wheat, 21st Amendment Brewery 
190,Cincinnati Reds,Bell's Oberon Pale Wheat Ale,
191,Cincinnati Reds,Founders All Day IPA,Founders Brewing Company
192,Cincinnati Reds,Deschutes Mirror Pond Pale Ale,Deschutes Brewery
193,Cincinnati Reds,SweetWater 420 Extra Pale Ale,SweetWater Brewing Company
194,Cincinnati Reds,Yuengling Traditional Lager, Yuengling Brewery 
195,Cincinnati Reds,Leinenkugel's Summer Shandy,Jacob Leinenkugel Brewing Company
196,Cincinnati Reds,Goose Island Urban 312 Pale Ale, Goose Island Beer Co. 
197,Cincinnati Reds,Goose Island IPA,Goose Island Beer Co.
198,Cincinnati Reds,Sam Adams Summer Ale, Boston Beer Company (Samuel Adams) 
199,Kansas City Royals,Boulevard Unfiltered Wheat, Boulevard Brewing Co. 
200,Kansas City Royals,Boulevard Pale Ale,Boulevard Brewing Co.
201,Kansas City Royals,Boulevard Tank 7 Farmhouse Ale, Boulevard Brewing Co. 
202,Kansas City Royals,Boulevard The Calling, Boulevard Brewing Co. 
203,Kansas City Royals,Boulevard KC Pils, Boulevard Brewing Co. 
204,Kansas City Royals,Boulevard 80 Acre, Boulevard Brewing Co. 
205,Kansas City Royals,Boulevard Single-Wide IPA, Boulevard Brewing Co. 
206,Kansas City Royals,Boulevard Imperial Stout,Boulevard Brewing Co.
207,Kansas City Royals,Boulevard Spring Belle, Boulevard Brewing Co. 
208,Kansas City Royals,Ommegang Cooperstown, Brewery Ommegang 
209,Kansas City Royals,Ommegang Three Philosophers,Brewery Ommegang
210,Kansas City Royals,Sante Fe Java Stout,
211,Kansas City Royals,Mothers Three Blind Mice,Mother's Brewing Company
212,Kansas City Royals,Founders All-Day IPA,
213,Kansas City Royals,River North White,River North Brewery
214,Kansas City Royals,Breckenridge Agave Wheat, Breckenridge Brewery 
215,Kansas City Royals,Martin City Abbey,Martin City Brewing Company
216,Kansas City Royals,Duvel,Brouwerij Duvel Moortgat NV
217,Oakland Athletics,Strike Brewing Co. Wit,Strike Brewing Co.
218,Oakland Athletics,Strike Brewing Co. Brow,Strike Brewing Co.
219,Oakland Athletics,Strike Brewing Co. Opening Pitch Pale Ale,
220,Oakland Athletics,Strike Brewing Co. IPA,Strike Brewing Co.
221,Oakland Athletics,Strike Brewing Co. Blonde,Strike Brewing Co.
222,Oakland Athletics,Strike Brewing Co. Irish Red Ale, Strike Brewing Co. 
223,Oakland Athletics,Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.
224,Oakland Athletics,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
225,Oakland Athletics,Drake's 1500 Pale Ale,Drake's Brewing Co.
226,Oakland Athletics,Drake's IPA,Drake's Brewing Co.
227,Oakland Athletics,Trumer Pil,Trumer Brauerei Berkeley
228,Texas Rangers,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
229,Texas Rangers,Oskar Blues Dale's Pale Ale,Oskar Blues Grill & Brew
230,Texas Rangers,Founders All Day IPA,Founders Brewing Company
231,Texas Rangers,Odell 90 Shilling Ale,
232,Texas Rangers,Franconia Lager,Franconia Brewing Company
233,Milwaukee Brewers,Sierra Nevada Torpedo Extra IPA,Sierra Nevada Brewing Co.
234,Milwaukee Brewers,Sierra Nevada Pale Ale,Sierra Nevada Brewing Co.
235,Milwaukee Brewers,Bell's Oberon Ale,Bell's Brewery - Eccentric Café & General Store
236,Milwaukee Brewers,Milwaukee Brewing Company O-Gii,Milwaukee Brewing Company
237,Milwaukee Brewers,New Belgium Brewing Ranger,New Belgium Brewing
238,Pittsburgh Pirates,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Café & General Store
239,Pittsburgh Pirates,Lagunitas A Little Sumpin' Sumpin' Ale,Lagunitas Brewing Company
240,Pittsburgh Pirates,Dogfish Head Indian Brown Ale,Dogfish Head Craft Brewery
241,Pittsburgh Pirates,Dogfish Head 60 Minute IPA, Dogfish Head Craft Brewery 
242,Pittsburgh Pirates,Victory Hop Devil Ale,
243,Cleveland Indians,Fat Head's Head Hunter IPA,
244,Cleveland Indians,The Brew Kettle White Rajah,The Brew Kettle Taproom & Smokehouse / Production Works
245,Cleveland Indians,Bell's Two Hearted Ale,Bell's Brewery - Eccentric Café & General Store
246,Cleveland Indians,Dogfish Head 60 Minute IPA, Dogfish Head Craft Brewery 
247,Cleveland Indians,Great Lakes Dortmunder Gold,Great Lakes Brewing Co.
248,Toronto Blue Jays,Alexander Keith's Galaxy Hop Ale, Alexander Keith's 
249,Toronto Blue Jays,Alexander Keith's Hallertauer Hope Ale,
250,Toronto Blue Jays,Alexander Keith's Cascade Hop Ale, Alexander Keith's 
251,Toronto Blue Jays,Stella Artois,Stella Artois
252,Toronto Blue Jays,Labatt Canadian Ale/Labatt 50,
253,Tampa Bay Rays,Samuel Adams Boston Lager,Boston Beer Company (Samuel Adams)
254,Tampa Bay Rays,New Belgium Fat Tire Amber Ale, New Belgium Brewing 
255,Tampa Bay Rays,Blue Moon Belgian White, Coors Brewing Company (Molson-Coors) 
256,Tampa Bay Rays,Batch 19,Coors Brewing Company (Molson-Coors)
257,Tampa Bay Rays,Leinenkugel's Summer Shandy ,Jacob Leinenkugel Brewing Company
